Time,Class,Confidence,Frame_ID
2025-10-19 23:43:08,engaged,0.67,6
2025-10-19 23:43:08,bored,0.53,7
2025-10-19 23:43:08,engaged,0.47,7
2025-10-19 23:43:09,engaged,0.68,8
2025-10-19 23:43:09,engaged,0.6,9
2025-10-19 23:43:09,engaged,0.67,10
2025-10-19 23:43:09,engaged,0.68,10
2025-10-19 23:43:09,engaged,0.62,11
2025-10-19 23:43:10,engaged,0.71,12
2025-10-19 23:43:11,engaged,0.69,12
2025-10-19 23:43:11,engaged,0.65,12
2025-10-19 23:43:11,engaged,0.72,12
2025-10-19 23:43:12,engaged,0.71,13
2025-10-19 23:43:13,engaged,0.73,13
